City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Cozumel,MX,2020-10-04 17:55:12,20.51,-86.95,29.0,79,75,4.1
138,Riofrio,CO,2020-10-04 17:55:12,4.16,-76.29,25.0,73,40,2.6
139,Martapura,ID,2020-10-04 17:55:12,-3.42,114.85,23.0,100,88,0.5
140,Lata,PT,2020-10-04 17:55:12,40.16,-8.33,16.67,69,88,4.02
141,Arraial Do Cabo,BR,2020-10-04 17:55:12,-22.97,-42.03,25.0,78,90,5.7
142,Port Lincoln,AU,2020-10-04 17:55:13,-34.73,135.87,10.83,70,51,5.85
143,Bethel,US,2020-10-04 17:55:13,41.37,-73.41,18.33,39,1,2.1
144,Kangaba,ML,2020-10-04 17:55:13,11.93,-8.42,26.28,76,89,0.87
145,Qaanaaq,GL,2020-10-04 17:55:13,77.48,-69.36,-7.37,87,9,3.87
146,Richton Park,US,2020-10-04 17:55:13,41.48,-87.7,10.56,66,90,4.1
147,Nikolayevsk-Na-Amure,RU,2020-10-04 17:55:13,53.14,140.73,7.52,91,100,3.01
148,Akhtanizovskaya,RU,2020-10-04 17:55:13,45.32,37.1,17.0,77,40,1.0
149,Esperance,AU,2020-10-04 17:55:14,-33.87,121.9,9.0,87,90,3.1
150,Tuktoyaktuk,CA,2020-10-04 17:55:14,69.45,-133.04,3.0,93,90,8.2
151,Hervey Bay,AU,2020-10-04 17:55:14,-25.3,152.85,19.44,75,11,0.45
152,Clinton,US,2020-10-04 17:55:14,42.59,-82.92,11.11,100,90,2.6
153,La Palma,US,2020-10-04 17:55:14,33.85,-118.05,28.89,44,1,1.07
154,Chuy,UY,2020-10-04 17:55:14,-33.7,-53.46,13.45,73,79,6.55
155,Collie,AU,2020-10-04 17:55:14,-33.37,116.15,8.33,55,0,2.25
156,Kuching,MY,2020-10-04 17:55:15,1.55,110.33,24.0,100,20,0.5
157,Semenivka,UA,2020-10-04 17:55:15,52.18,32.58,15.08,49,89,4.87
